account_canonical_id,run_datetime,tripped,trigger,domain,excess_cash_amount
rrsp-samr9c-s,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-i7bbqesi,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-fqYf9ZYQCA,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-m_uqC9ekkQ,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-08Z2zqrYDw,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
group-rrsp-po4nlrwj,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,1.25
tfsa-zc3gh-1d,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-fAb2Oi0jzg,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
rrsp-ywslswgw,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-hivmmkye,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-wutoirap,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-mh6hlgka,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
rrsp-bhgf5gdm,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-kgvrz1ob,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-islvxtez,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-3cmxjvs4,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-i64yisgl,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
group-rrsp-fE0uY20R5Q,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-npjfwqy5,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-0wpdflal,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
resp-rpudyyg7,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
non-registered-0yqwwlnq,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-vdXuAnRbIQ,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-1s29uttr,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-jva0dldm,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-q-ltyrzo,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-5mkymybq,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-fsjwgnaz,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-4-hy32bf,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-p3wqp79q,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
rrsp-s6ja3pz8,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-hjlcp4j0,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
non-registered-kve1zdey,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-2uodqvdt,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-gumtplum,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-4jd41ti,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
rrsp-qqxyhvve,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-nkpldoqh,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
rrsp-pfqocjfr,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-vzybmzbm,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-JZeMCItN6A,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
non-registered-gxw2gcdg,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-cjntykkz,2024-07-12T13:30:17.148257,TRUE,Transfer Out,Money movement,
non-registered-llewmscw,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
non-registered-Muh_8p-kAw,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-t2ystaza,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-dwc0sdcq,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-zyyroe0j,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
rrsp-vrlodhdi,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-OVurVdtSUw,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-jrilzpux,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-4lofe9c_,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
group-rrsp-pyoezawc,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,0.11
tfsa-0fcQyCdW8A,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
non-registered-wh7eb2ep,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-gvec_f7u,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-gvec_f7u,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
group-rrsp-g3kj_t_b,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
rrsp-rg3dy47e,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
rrsp-vrsyt6nx,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-yomq1_td,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-id3ybdmh,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-q6wltg-k,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-70ji0plq,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
non-registered-ibag6k1r,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-fopjakrq,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-cPOHGNKhYQ,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-fezzhkky,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-uurwgryp,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-iwhdlfbt,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
non-registered-x5i7gf4h,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
rrsp-m2aj5mhq,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
rrsp-M7RDHE2L1g,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-d8sjg84h,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
